Year,England,Scotland,Wales,Northern Ireland
2021,3.352486188,2.961832061,2.765555556,2.873176207
2020,3.496559633,3.055865922,2.852704258,3.031725888
2019,3.540669856,3.09540636,2.957575758,2.922046285
2018,3.621079046,3.20625,3,3.005108557
2017,3.646133683,3.22997416,3.074567244,3.082666667
2016,3.692622951,3.284552846,3.171745152,3.2125
2015,3.791304348,3.38,,3.451219512
2014,3.892053973,3.468335788,,3.534700315
2013,3.937784522,3.536036036,,3.5792
2012,3.930769231,3.540832049,,3.544715447
2011,4.026771654,3.60443038,,3.695
2010,4.036565978,3.647058824,,3.61
2009,4.016051364,3.632423756,,3.605
2008,4.03,3.538971808,,3.674137931
2007,4.013675214,3.567986231,,3.555160142
2006,4.033928571,3.7,,3.794007491
2005,4.051851852,3.740037951,,3.75146771
2004,4.036538462,3.599214145,,3.492
2003,4.055555556,3.534136546,3.515463918,3.542443064
2002,4.108333333,3.642706131,3.545652174,3.610503282
2001,4.105263158,3.773333333,3.54214123,3.586206897
2000,4.03196347,3.184,3.088477366,3.167364017
1999,4.030952381,3.782082324,3.6,3.656641604
1998,4.075,3.757575758,3.632545932,3.729442971
1997,4.041775457,3.860589812,3.689373297,3.911931818
